Hit_def,Accession,Length,Frame,E_value,Score,Identities,Align_length,Percent_identity
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Argopecten irradians] >gb|WVR21487.1| spatiotemporal phototransduction pathway protein [Argopecten irradians],XP_069111413,407,-2,5.91704e-70,456.0,85,87,97.7
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Pecten maximus],XP_033762842,407,-2,9.10953e-70,456.0,85,87,97.7
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Ylistrum balloti],XP_060083998,407,-2,1.62836e-69,454.0,84,87,96.55
phosphatidylinositol 5-phosphate 4-kinase type-2 beta-like [Mizuhopecten yessoensis] >gb|OWF38747.1| Phosphatidylinositol 5-phosphate 4-kinase type-2 beta [Mizuhopecten yessoensis],XP_021377781,407,-2,1.69733e-69,453.0,84,87,96.55
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Ruditapes philippinarum],XP_060589942,410,-2,6.44252e-59,406.0,73,87,83.91
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X1 [Liolophura japonica],XP_064613695,433,-2,6.65647e-59,393.0,72,87,82.76
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X2 [Liolophura japonica],XP_064613696,417,-2,6.65872e-59,394.0,72,87,82.76
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha isoform X2 [Octopus sinensis] >gb|UUA79793.1| phosphatidylinositol 5-phosphate 4-kinase type-2 beta [Octopus vulgaris] >emb|CAI9728724.1| phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Octopus vulgaris],XP_029640530,409,-2,8.75549e-59,405.0,72,87,82.76
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Haliotis asinina],XP_067648760,402,-2,1.23017e-58,399.0,73,87,83.91
LOW QUALITY PROTEIN: phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Haliotis rubra],XP_046557027,439,-2,1.57626e-58,398.0,73,87,83.91
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Mya arenaria],XP_052809446,411,-2,2.96145e-58,400.0,71,87,81.61
Phosphatidylinositol 5-phosphate 4-kinase type-2 beta [Mactra antiquata],KAL4222748,411,-2,3.21741e-58,406.0,73,87,83.91
phosphatidylinositol 5-phosphate 4-kinase type-2 beta [Octopus bimaculoides],XP_014773204,408,-2,3.24441e-58,399.0,71,87,81.61
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Saccostrea echinata],XP_061186060,408,-2,8.27844e-58,387.0,68,87,78.16
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X2 [Dreissena polymorpha] >ref|XP_052245943.1| phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X2 [Dreissena polymorpha] >gb|KAH3718324.1| hypothetical protein DPMN_061127 [Dreissena polymorpha],XP_052245849,410,-2,2.07743e-57,396.0,71,87,81.61
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Physella acuta],XP_059140450,415,-2,2.85087e-56,389.0,72,88,81.82
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Magallana angulata],XP_052682329,409,-2,3.36533e-56,389.0,69,87,79.31
unnamed protein product [Lymnaea stagnalis],CAL1528785,415,-2,3.39287e-56,395.0,73,88,82.95
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha [Magallana gigas],XP_034309271,409,-2,3.42158e-56,389.0,69,87,79.31
phosphatidylinositol 5-phosphate 4-kinase type-2 beta [Biomphalaria glabrata],KAK7011185,330,-2,3.60376e-56,395.0,72,88,81.82
phosphatidylinositol 5-phosphate 4-kinase type-2 beta [Biomphalaria glabrata],KAI8792855,327,-2,4.01413e-56,395.0,72,88,81.82
phosphatidylinositol 5-phosphate 4-kinase type-2 beta-like isoform X1 [Biomphalaria glabrata],XP_055884799,416,-2,4.35051e-56,394.0,72,88,81.82
PIP4K2 [Acanthosepion pharaonis],CAE1162199,381,-2,4.53842e-56,392.0,69,87,79.31
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X1 [Ostrea edulis],XP_048756049,409,-2,4.57305e-56,380.0,68,87,78.16
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha [Biomphalaria pfeifferi],KAK0046442,416,-2,4.68743e-56,394.0,72,88,81.82
PIP4K2 [Mytilus coruscus],CAC5406758,403,-2,8.23801e-56,383.0,69,88,78.41
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Mytilus trossulus],XP_063421828,402,-2,1.00511e-55,382.0,69,88,78.41
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha isoform X1 [Octopus sinensis],XP_036361679,418,-2,1.16638e-55,404.0,72,87,82.76
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Gigantopelta aegis],XP_041367305,413,-2,2.50043e-55,386.0,67,87,77.01
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Mytilus californianus],XP_052091821,403,-2,2.97645e-55,378.0,68,88,77.27
PIP4K2 [Mytilus edulis],CAG2247396,424,-2,3.45359e-55,377.0,68,88,77.27
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Mytilus edulis] >emb|CAG2247395.1| PIP4K2 [Mytilus edulis] >emb|VDH95279.1| 1-phosphatidylinositol-5-phosphate 4-kinase [Mytilus galloprovincialis],XP_071158261,402,-2,3.81665e-55,377.0,68,88,77.27
hypothetical protein ACJMK2_023878 [Sinanodonta woodiana],KAL3832218,404,-2,4.32162e-55,376.0,67,87,77.01
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X1 [Dreissena polymorpha] >ref|XP_052245941.1| phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X1 [Dreissena polymorpha] >ref|XP_052245942.1| phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X1 [Dreissena polymorpha] >gb|KAH3720520.1| hypothetical protein DPMN_063419 [Dreissena polymorpha],XP_052245848,416,-2,8.45357e-55,396.0,71,87,81.61
hypothetical protein CHS0354_019853 [Potamilus streckersoni],KAK3584730,404,-2,1.34493e-54,370.0,65,87,74.71
hypothetical protein BaRGS_00028862 [Batillaria attramentaria],KAK7479872,372,-2,2.08832e-54,371.0,65,87,74.71
"hypothetical protein ScPMuIL_015396, partial [Solemya velum]",KAL5006590,365,-2,3.40571e-54,406.0,72,87,82.76
hypothetical protein RRG08_037085 [Elysia crispata],KAK3776579,416,-2,7.59806e-54,379.0,70,88,79.55
PIP4K2 [Mytilus edulis],CAG2247397,406,-2,1.87516e-53,362.0,68,92,73.91
hypothetical protein BsWGS_05166 [Bradybaena similaris],BFZ02127,414,-2,3.51907e-53,385.0,70,88,79.55
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha [Plakobranchus ocellatus],GFO24494,322,-2,1.15378e-52,373.0,68,88,77.27
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Pomacea canaliculata],XP_025094188,419,-2,2.5487e-52,353.0,63,87,72.41
phosphatidylinositol 5-phosphate 4-kinase type-2 beta-like isoform X2 [Biomphalaria glabrata],XP_055884806,380,-2,1.86299e-51,393.0,72,88,81.82
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X2 [Ostrea edulis],XP_048756050,367,-2,2.4905e-51,380.0,68,87,78.16
"unnamed protein product, partial [Candidula unifasciata]",CAG5120074,216,-2,3.89002e-51,365.0,69,88,78.41
hypothetical protein BsWGS_00344 [Bradybaena similaris],BFY97304,412,-2,3.21591e-50,358.0,68,88,77.27
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Littorina saxatilis],XP_070210913,416,-2,5.55465e-50,340.0,60,87,68.97
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Saccostrea cuccullata],XP_062592413,405,-2,7.73843e-50,317.0,60,87,68.97
hypothetical protein FSP39_014104 [Pinctada imbricata],KAK3108720,370,-2,1.12443e-49,398.0,70,87,80.46
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha isoform X1 [Lingula anatina] >ref|XP_013388700.1| phosphatidylinositol 5-phosphate 4-kinase type-2 alpha isoform X2 [Lingula anatina],XP_013388699,414,-2,7.54417e-49,319.0,61,88,69.32
hypothetical protein KUTeg_008115 [Tegillarca granosa],KAJ8313554,237,-2,6.79591e-48,404.0,73,87,83.91
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha isoform X3 [Octopus sinensis],XP_036361680,336,-2,1.22416e-46,403.0,72,87,82.76
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Mercenaria mercenaria],XP_053374191,385,-2,2.10779e-46,405.0,73,87,83.91
phosphatidylinositol 5-phosphate 4-kinase type-2 beta-like [Haliotis cracherodii],XP_071108571,403,-2,3.62812e-46,405.0,74,87,85.06
phosphatidylinositol 5-phosphate 4-kinase type-2 beta-like [Haliotis rufescens],XP_046379487,403,-2,3.70624e-46,405.0,74,87,85.06
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Crassostrea virginica],XP_022305822,412,-2,6.03501e-45,397.0,71,96,73.96
phosphatidylinositol-5-phosphate 4-kinase type-2 beta [Elysia marginata],GFS10213,367,-2,7.64609e-45,369.0,69,88,78.41
